id,name,type,state,oricodes,total_shootings,latitude,longitude
26254,U.S. Marshals Service,federal,PA,PAUSM0100;PAUSM0200;PAUSM0300,5,32.0439341,-99.9872095
3446,U.S. Marshals Service,federal,RI,RIUSM0100,1,33.6817351,-84.4189372
3167,U.S. Marshals Service,federal,SC,SCUSM0100,2,42.5586303,-71.1061486
3611,U.S. Marshals Service,federal,SD,SDUSM0100,1,30.384225,-89.090677
1409,U.S. Marshals Service,federal,TN,TNUSM0100;TNUSM0200;TNUSM0300,6,33.9388238,-118.296237
1173,U.S. Marshals Service,federal,TX,TXUSM0100;TXUSM0200;TXUSM0300;TXUSM0400,14,39.1236631,-122.8574131
2640,U.S. Marshals Service,federal,UT,UTUSM0100,4,38.8470981,-104.7502918
3553,U.S. Marshals Service,federal,VA,VAUSM0100;VAUSM0200,2,29.905894,-81.3178306
3478,U.S. Marshals Service,federal,WA,WAUSM0100;WAUSM0200,1,39.6841135,-105.0168629
26256,U.S. Marshals Service,federal,WI,WIUSM0100;WIUSMD200,1,33.5984146,-117.7070052
1350,U.S. Marshals Service,federal,WY,WYUSM0100,1,34.0333275,-118.1586228
2061,U.S. Marshals Service Fugitive Task Force,federal,US,,5,26.5874127,-80.0682809
2727,U.S. Marshals Service's High Plains Fugitive Task Fo,federal,ID,,1,37.9666479,-121.8054587
1345,U.S. Marshals Service Task Force,federal,CA,,2,27.906922,-80.5184257
5,U.S. Marshals Service Task Force,federal,WV,,3,33.3325037,-84.1102578
2984,U.S. Marshals Service Violent Fugitive Task Force,federal,OH,,1,33.7310845,-84.3948833
1970,U.S. Park Police,federal,VA,,1,35.1984743,-111.6565777
1246,Utah County Sheriff's Office,sheriff,UT,UT02500,4,39.9520614,-83.0890946
2978,Utah Highway Patrol,state_police,UT,UTUHP00,1,39.6284217,-104.7984491
3583,Utica Police Department,local_police,NY,NY03202,1,28.0448114,-82.4386076
1756,Vacaville Police Department,local_police,CA,CA04806,2,35.2246682,-114.0143514
1469,Valdosta Police Department,local_police,GA,GA09201,1,44.3730162,-72.8784821
553,Valencia County Sheriff's Department,sheriff,NM,NM03200,5,40.454598,-79.8884516
211,Vallejo Police Department,local_police,CA,CA04807,6,,
2612,Valley Transportation Authority,local_other,CA,,1,25.5151748,-80.4148501
2516,Van Buren County Sheriff's Office,sheriff,AR,AR07100,2,38.1041122,-122.2582093
3186,Van Buren County Sheriff's Office,sheriff,MI,MI80180,1,39.6764942,-104.9352272
2260,Van Buren Police Department,local_police,AR,AR01701,1,,
1310,Vancouver Police Department,local_police,WA,WA00603,10,32.8986014,-97.3162473
26773,Vanderburgh County Sheriff's Office,sheriff,IN,IN08200,1,41.4856738,-87.3488305
3625,Van Zandt County Sheriff's Office,sheriff,TX,TX23400,1,40.4893247,-86.1275054
1654,Vassalboro Police Department,local_police,ME,ME00611,2,38.7982194,-94.493915
1474,Ventnor Police Department,local_police,NJ,NJ00122,2,30.7186724,-88.1726899
975,Ventura County Sheriff's Department,sheriff,CA,CA05600,3,33.4109738,-111.7924613
2931,Ventura Police Department,local_police,CA,CA05608,1,37.3233032,-108.900594
3052,Vermilion Parish Sheriff's Office,sheriff,LA,LA05700,1,36.308811,-78.401031
1862,Vermont State Police,state_police,VT,VTVSP00;VTVSP01;VTVSP02;VTVSP03;VTVSP04;VTVSP05;VTVSP06;VTVSP07;VTVSP08;VTVSP09;VTVSP10;VTVSP11;VTVSP12;VTVSP13,4,28.3524358,-80.6118191
1785,Vernon County Sheriff's Department,sheriff,MO,MO10900,1,38.5302979,-81.657099
2133,Vernon Parish Sheriff's Office,sheriff,LA,LA05800,2,39.366343,-78.038183
26837,Vernon Police Department,local_police,AL,AL04002,1,,
2723,Vestavia Hills Police Department,local_police,AL,AL00109,1,32.3094443,-106.7639411
3091,VIA Metropolitan Transit Police Department,local_other,TX,,1,36.154305,-95.6726902
432,Victoria Police Department,local_police,TX,TX23501,1,29.5726143,-98.1330871
2305,Victorville Police Department,local_police,CA,CA03612,3,47.6721671,-122.291147
26907,Vienna Township Police Department,local_police,OH,OH07828,1,30.1974141,-97.7362318
2796,Vigo County Sheriff's Office,sheriff,IN,IN08400,2,33.1958584,-97.0964348
3037,Villa Hills Police Department,local_police,KY,KY05912,1,38.7559092,-76.9932898
3110,Villa Park Police Department,local_police,IL,IL02217,1,32.3664119,-86.3299346
1225,Vineland Police Department,local_police,NJ,NJ00614,3,46.939184,-98.9909139
3422,Vinita Police Department,local_police,OK,OK01801,1,32.3016123,-90.2056821
771,Virginia Beach Police Department,local_police,VA,VA12800,9,36.333914,-102.0701
2344,Virginia Police Department,local_police,MN,MN06914,1,36.5714901,-82.713122
